GameID	Precipitation	SnowFall	SnowDepth	MaxTemperature	MinTemperature	FogFlag	ThunderFlag	HailFlag	DustFlag	HighWindFlag	RainFlag	SnowFlag	UnknownPrecipFlag
1	0	0	0	80	59	0	0	0	0	0	0	0	0
2	0			77	66	0	0	0	0	0	0	0	0
3	0	0	0	80	51	0	0	0	0	0	0	0	0
4	0			84	62	0	0	0	0	0	0	0	0
5	0	0	0	78	48	0	0	0	0	0	0	0	0
6	13	0		66	55	0	0	0	0	0	0	0	0
7	0	0	0	48	71	0	0	0	0	0	0	0	0
8	0			69	48	0	0	0	0	0	0	0	0
9	-999		-999	57	69	0	0	0	0	0	0	0	0
10	0	0	0	66	51	0	0	0	0	0	0	0	0
11	0			69	55	0	0	0	0	0	0	0	0
12	0	0		71	55	0	0	0	0	0	0	0	0
13	0	0	0	55	41	0	0	0	0	0	0	0	0
14	3	0	0	46	57	0	0	0	0	0	0	0	0
15	0	0		59	42	0	0	0	0	0	0	0	0
16	0			60	26	0	0	0	0	0	0	0	0
17	1	0	0	66	51	0	0	0	0	0	0	0	0
18	0	0	0	30	33	0	0	0	0	0	0	0	0
19	1			53	39	0	0	0	0	0	0	0	0
20	0	0		53	39	0	0	0	0	0	0	0	0
21	6	6	0	39	30	0	0	0	0	0	0	0	0
22	4	0	0	39	33	0	0	0	0	0	0	0	0
23	18			53	42	0	0	0	0	0	0	0	0
24	0	0	0	57	39	0	0	0	0	0	0	0	0
25	0	0		66	39	0	0	0	0	0	0	0	0
26	0			69	24	0	0	0	0	0	0	0	0
27	0	0		42	26	0	0	0	0	0	0	0	0
28	0	0		44	30	0	0	0	0	0	0	0	0
29	0	0	-999	57	73	0	0	0	0	0	0	0	0
30	0	0	0	48	30	0	0	0	1	0	0	0	0
31	0	0	-999	59	66	0	0	0	0	0	0	0	0
32	5	0	0	73	57	0	0	0	0	0	0	0	0
33	0			64	46	0	0	0	0	0	0	0	0
34	0	0	0	73	55	0	0	0	0	0	0	0	0
35	0	0	-999	46	60	0	0	0	0	0	0	0	0
36	0			75	55	0	0	0	0	0	0	0	0
37	0	0	0	66	44	0	0	0	0	0	0	0	0
38	15			69	55	0	0	0	0	0	0	0	0
39	0	0	0	53	33	0	0	0	0	0	0	0	0
40	0	0	0	60	53	0	0	0	0	0	0	0	0
41	0	0	0	57	41	0	0	0	0	0	0	0	0
42	1	0	0	66	44	0	0	0	0	0	0	0	0
43	30	0	0	64	46	0	0	0	0	0	0	0	0
44	8	0	-999	35	48	0	0	0	0	0	0	0	0
45	0	0	0	55	33	0	0	0	0	0	0	0	0
46	1	0		68	48	0	0	0	0	0	0	0	0
47	0	0	0	42	26	0	0	0	0	0	0	0	0
48	0	0	0	37	64	0	0	0	0	0	0	0	0
49	0	0	0	59	24	0	0	0	0	0	0	0	0
50	0	0		44	24	0	0	0	0	0	0	0	0
51	0	0	0	46	32	0	0	0	0	0	0	0	0
52	10	0		48	33	0	0	0	0	0	0	0	0
53	11	3	0	42	33	0	0	0	0	0	0	0	0
54	0	1	7	17	28	0	0	0	0	0	0	0	0
55	0	0		44	30	0	0	0	0	0	0	0	0
56	0			59	41	0	0	0	0	0	0	0	0
57	2			73	62	0	0	0	0	0	0	0	0
58	0	0	0	60	42	0	0	0	0	0	0	0	0
59	0			80	55	0	0	0	0	0	0	0	0
60	0	0		32	46	0	0	0	0	0	0	0	0
61	0	0		44	33	0	0	0	0	0	0	0	0
62	0	0	0	46	39	0	0	0	0	0	0	0	0
63	0	0		57	41	0	0	0	0	0	0	0	0
64	0	0	0	57	42	0	0	0	0	0	0	0	0
65	3			35	60	0	0	0	0	0	0	0	0
66	1			57	39	0	0	0	0	0	0	0	0
67	0	0	0	60	44	0	0	0	0	0	0	0	0
68	20	0	0	33	59	0	0	0	0	0	0	0	0
69	0	0		66	46	0	0	0	0	0	0	0	0
70	0	0	0	42	33	0	0	0	0	0	0	0	0
71	0	0		44	28	0	0	0	0	0	0	0	0
72	0	0		44	30	0	0	0	0	0	0	0	0
73	0	0		62	33	0	0	0	0	0	0	0	0
74	0	0	0	21	35	0	0	0	0	0	0	0	0
75	0	0		48	35	0	0	0	0	0	0	0	0
76	0	0		51	39	0	0	0	0	0	0	0	0
77	8			69	44	0	0	0	0	0	0	0	0
78	0	0	0	66	39	0	0	0	1	0	0	0	0
79	0	0	0	73	50	0	0	0	0	0	0	0	0
80	0	0	0	57	50	0	0	0	0	0	0	0	0
81	0	0	0	73	60	0	0	0	0	0	1	0	0
82	0			57	44	0	0	0	0	0	0	0	0
83	1			62	75	0	0	0	0	0	0	0	0
84	0	0	-999	44	57	0	0	0	0	0	0	0	0
85	0			42	55	0	0	0	0	0	0	0	0
86	0			51	26	0	0	0	0	0	0	0	0
87	0	0		57	30	0	0	0	0	0	0	0	0
88	0	0	0	51	32	0	0	0	0	0	0	0	0
89	0	0	0	51	42	0	0	0	0	0	0	0	0
90	0	0	-999	42	50	0	0	0	0	0	0	0	0
91	0			39	48	0	0	0	0	0	0	0	0
